Designator,Quantity,Value,Footprint,LCSC Part #,Type
"C1, C2, ",2,22u,C_0603_1608Metric,C59461,SMD
"C3, ",1,10u,C_0402_1005Metric,C15525,SMD
"C4, C5, ",2,100n,C_0402_1005Metric,C1525,SMD
"C6, ",1,10n,C_0402_1005Metric,C15195,SMD
"C7, ",1,1u,C_0402_1005Metric,C52923,SMD
"C8, C9, ",2,10p,C_0402_1005Metric,C32949,DNP
"D1, ",1,Green,LED_0603_1608Metric,C72043,SMD
"D2, ",1,Blue,LED_0603_1608Metric,C72041,SMD
"D3, ",1,Yellow,LED_0603_1608Metric,C72038,SMD
"FB1, ",1,100 @ 100MHz,L_0402_1005Metric,C85817,SMD
"R1, R4, R6, ",3,1K5,R_0402_1005Metric,C279987,SMD
"R2, R3, R5, ",3,10k,R_0402_1005Metric,C409612,SMD
"SW1, SW2, SW3, ",3,SW_SPST,SW_SPST_B3U-1000P,C231329,SMD
"U1, ",1,AMS1117-3.3,SOT-223-3,C6186,SMD
"U2, ",1,STM32L031G6U6,QFN-28_4x4mm,C96514,SMD
"U3, ",1,ESP32-WROOM-32,ESP32-WROOM-32,C529582,SMD
"X1, ",1,16MHz,Crystal_SMD_TSX3225,C13738,DNP
