Designator,Value,Footprint,Mid X,Mid Y,Rotation,Layer
C1,22u,C_0603_1608Metric,114.3,-97.8,180,top
C2,22u,C_0603_1608Metric,118.8,-92.475,90,top
C3,10u,C_0402_1005Metric,132.2,-100.125,-90,top
C4,100n,C_0402_1005Metric,131.2,-100.125,-90,top
C5,100n,C_0402_1005Metric,124.8,-97,90,top
C6,10n,C_0402_1005Metric,131.6,-96.5,0,top
C7,1u,C_0402_1005Metric,131.6,-95.5,0,top
C8,10p,C_0402_1005Metric,134.1,-98,90,top
C9,10p,C_0402_1005Metric,134.1,-99.9,-90,top
D1,Green,LED_0603_1608Metric,120.7425,-87.735,180,top
D2,Blue,LED_0603_1608Metric,127.5,-94.4,0,top
D3,Yellow,LED_0603_1608Metric,146.245,-109.6,0,top
FB1,100 @ 100MHz,L_0402_1005Metric,131.6,-94.5,0,top
R1,1K5,R_0402_1005Metric,120.9925,-89.06,180,top
R2,10k,R_0402_1005Metric,129.675,-101.3,0,top
R3,10k,R_0402_1005Metric,134.675,-107,90,top
R4,1K5,R_0402_1005Metric,127.2,-93.1,0,top
R5,10k,R_0402_1005Metric,151.79,-86.79,90,top
R6,1K5,R_0402_1005Metric,145.945,-110.9,0,top
SW1,SW_SPST,SW_SPST_B3U-1000P,134.6,-89.5,0,top
SW2,SW_SPST,SW_SPST_B3U-1000P,137.65,-107.5,180,top
SW3,SW_SPST,SW_SPST_B3U-1000P,154.77,-87.34,180,top
U1,AMS1117-3.3,SOT-223-3_TabPin2,114.3,-92.5,270,top
U2,STM32L031G6U6,QFN-28_4x4mm_P0.5mm,128,-98,270,top
U3,ESP32-WROOM-32,ESP32-WROOM-32,150.75,-99,-90,top
X1,16MHz,Crystal_SMD_SeikoEpson_TSX3225-4Pin_3.2x2.5mm,136.8,-98.5,0,top
